Subj,University        (1 Brown),Experience               (1 EXEC),TP desc change        (1 change),TP desc rate      (1 rate),TP desc direction        (1 direction),TP desc  no return              (1 no return),Tell mgr         (1 YES),Importance of sustained change (100 very),Importance rise (100 very),Importance fall (100 very),Importance periodic nature of occurrence (100 very),Num other TP IDed than pts suggested         (0-12),LIWC Def posemo,LIWC Def negemo,LIWC Def cause,LIWC Def focuspresent,LIWC Def focusfuture,LIWC Def relativ,LIWC Def time
33,0,0,1,0,0,0,1,71,0,100,50,3,0.00,0.00,13.33,6.67,0.00,26.67,6.67
34,0,0,1,1,0,0,0,20,99,100,29,12,0.00,0.00,15.79,10.53,0.00,36.84,10.53
35,0,0,0,0,0,0,1,83,73,85,88,4,0.00,0.00,0.00,18.75,6.25,6.25,0.00
36,0,0,1,1,0,0,1,66,37,52,55,2,0.00,0.00,21.43,7.14,0.00,42.86,0.00
37,0,0,1,1,0,0,1,10,100,100,,0,0.00,0.00,0.00,12.50,0.00,12.50,0.00
38,0,0,1,0,1,0,1,100,100,100,50,0,0.00,0.00,10.53,10.53,0.00,36.84,10.53
39,0,0,0,0,0,0,1,35,100,100,17,0,0.00,0.00,0.00,10.00,0.00,20.00,0.00
40,0,0,1,0,1,0,1,80,90,90,50,3,3.03,0.00,9.09,9.09,0.00,21.21,6.06
41,0,0,0,0,0,0,1,50,79,78,53,3,0.00,0.00,25.00,25.00,0.00,12.50,12.50
42,0,0,1,0,1,0,0,,74,79,,0,0.00,0.00,0.00,20.00,0.00,30.00,0.00
43,0,0,1,0,0,0,1,76,74,27,75,1,9.09,0.00,0.00,18.18,0.00,27.27,9.09
44,0,0,1,0,1,1,,,,,,4,5.56,0.00,0.00,11.11,0.00,22.22,0.00
45,0,0,1,0,1,0,1,53,26,79,0,1,0.00,16.67,0.00,16.67,0.00,50.00,0.00
46,0,0,1,0,1,0,1,80,80,86,,1,0.00,0.00,0.00,5.26,0.00,26.32,5.26
47,0,0,0,0,1,0,0,,100,100,,3,0.00,7.14,0.00,7.14,0.00,35.71,0.00
48,0,0,1,0,0,0,1,52,84,84,52,6,0.00,0.00,5.26,10.53,5.26,36.84,10.53
49,0,0,1,0,0,0,1,61,72,51,83,0,0.00,0.00,0.00,10.00,0.00,30.00,0.00
50,0,0,1,0,1,1,1,,100,,50,0,9.52,0.00,9.52,19.05,4.76,19.05,9.52
51,0,0,1,0,0,0,1,100,100,100,20,0,0.00,0.00,0.00,12.50,0.00,37.50,0.00
52,0,0,1,0,0,1,1,8,49,99,8,4,0.00,0.00,0.00,14.29,14.29,42.86,0.00
53,0,0,1,0,1,1,1,80,50,50,40,4,6.67,0.00,0.00,6.67,0.00,33.33,6.67
54,0,0,1,1,1,0,1,0,100,,50,0,2.63,0.00,5.26,10.53,0.00,21.05,5.26
55,0,0,0,0,0,0,1,0,100,100,,1,4.00,0.00,0.00,8.00,4.00,16.00,0.00
56,0,0,1,0,1,0,1,95,73,82,59,0,6.45,0.00,0.00,22.58,0.00,22.58,9.68
57,0,0,1,1,0,0,1,69,79,80,92,0,0.00,0.00,6.67,13.33,0.00,33.33,13.33
58,0,0,1,1,0,0,1,83,85,86,57,1,7.14,0.00,0.00,7.14,7.14,35.71,14.29
59,0,0,1,1,0,1,1,82,30,100,51,2,0.00,0.00,0.00,0.00,0.00,23.08,0.00
60,0,0,1,0,0,0,,,,,,,50.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0,0,1,0,1,0,,,,,,,0.00,0.00,0.00,0.00,0.00,20.00,10.00
62,0,0,1,0,0,0,,,,,,,0.00,0.00,7.69,7.69,0.00,30.77,0.00
63,0,0,1,0,0,0,1,100,100,100,20,0,0.00,0.00,0.00,11.11,0.00,33.33,0.00
64,0,0,1,1,0,0,,,,,,0,0.00,0.00,0.00,8.33,0.00,33.33,25.00
65,0,0,1,0,1,1,1,100,100,100,,0,0.00,0.00,0.00,4.55,0.00,31.82,9.09
66,0,0,1,0,0,0,1,60,31,1,59,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,0,0,1,0,0,1,1,54,52,88,100,0,0.00,0.00,14.29,14.29,0.00,42.86,0.00
68,0,0,1,0,1,0,,35,54,79,57,2,0.00,0.00,0.00,16.67,0.00,33.33,0.00
69,0,0,1,0,1,0,1,80,80,82,69,2,5.56,0.00,0.00,22.22,11.11,16.67,0.00
70,0,0,1,0,0,1,1,72,100,100,42,1,0.00,0.00,0.00,16.67,0.00,33.33,0.00
71,0,0,1,0,1,1,0,40,80,30,100,1,0.00,0.00,5.26,0.00,0.00,26.32,5.26
72,0,0,0,0,1,0,,32,75,75,51,1,0.00,0.00,0.00,14.29,0.00,14.29,7.14
73,0,0,1,0,0,1,1,80,25,25,80,1,0.00,0.00,33.33,0.00,0.00,33.33,0.00
74,0,0,1,0,0,0,0,95,65,35,0,1,0.00,0.00,40.00,0.00,0.00,40.00,0.00
75,0,0,1,0,1,1,1,80,75,75,75,1,0.00,0.00,4.55,13.64,0.00,36.36,13.64
76,0,0,1,0,1,0,1,85,71,10,86,3,0.00,8.33,4.17,4.17,0.00,29.17,8.33
77,0,0,1,0,0,1,1,9,60,100,14,1,0.00,0.00,0.00,0.00,0.00,28.57,7.14
78,0,0,1,0,0,0,1,45,40,50,50,5,0.00,0.00,0.00,11.76,0.00,35.29,5.88
79,0,0,1,1,1,0,1,100,50,50,100,1,6.25,0.00,12.50,12.50,0.00,18.75,0.00
80,0,0,1,0,1,1,1,71,49,29,91,0,0.00,4.55,4.55,4.55,0.00,18.18,4.55
81,0,0,1,1,0,0,1,80,50,50,70,0,0.00,0.00,8.33,0.00,0.00,25.00,0.00
82,0,0,1,0,1,0,1,57,27,55,12,2,0.00,2.38,0.00,14.29,2.38,26.19,0.00
83,0,0,1,0,0,0,0,94,100,100,38,0,0.00,0.00,9.09,18.18,0.00,18.18,9.09
84,0,0,1,0,0,0,1,90,74,73,54,0,0.00,0.00,0.00,0.00,0.00,42.86,14.29
85,0,0,1,0,1,0,1,91,100,30,65,4,0.00,0.00,0.00,11.11,0.00,22.22,0.00
86,0,0,1,0,0,0,1,50,72,72,83,5,0.00,0.00,18.18,9.09,0.00,36.36,9.09
87,0,0,1,1,0,0,1,44,71,72,41,3,0.00,0.00,30.00,30.00,0.00,30.00,0.00
88,0,0,1,0,0,1,1,20,20,100,30,3,0.00,0.00,9.09,9.09,0.00,27.27,9.09
89,0,0,1,0,1,1,1,90,65,65,40,0,0.00,0.00,0.00,5.88,5.88,17.65,11.76
90,0,0,1,1,1,0,1,100,50,50,100,0,0.00,0.00,0.00,4.00,0.00,16.00,8.00
91,0,0,1,0,0,0,1,94,70,91,76,1,0.00,0.00,12.50,18.75,0.00,25.00,6.25
92,0,0,1,0,1,0,0,32,54,80,,2,0.00,0.00,7.69,7.69,0.00,38.46,15.38
93,0,0,1,1,0,0,1,27,19,100,51,0,0.00,0.00,11.11,5.56,0.00,27.78,5.56
94,0,0,1,0,0,0,0,87,63,65,67,8,3.03,0.00,0.00,21.21,0.00,15.15,3.03
95,0,0,1,0,0,0,1,10,95,95,80,0,0.00,10.00,0.00,0.00,0.00,10.00,0.00
96,0,0,1,1,1,0,1,71,100,100,72,4,0.00,0.00,8.33,0.00,0.00,25.00,8.33
97,0,0,1,0,0,0,1,80,20,20,80,2,0.00,0.00,16.67,0.00,0.00,66.67,16.67
98,0,0,1,0,0,0,1,80,29,61,80,7,0.00,0.00,11.11,22.22,0.00,55.56,11.11
99,0,0,1,0,1,0,,51,6,70,12,2,7.69,0.00,0.00,0.00,0.00,15.38,0.00
100,0,0,1,1,1,0,1,26,52,92,12,3,0.00,0.00,0.00,0.00,0.00,30.77,0.00
101,0,0,0,0,0,0,1,91,,82,,1,0.00,0.00,0.00,25.00,0.00,0.00,0.00
102,0,0,1,0,0,0,,90,99,13,43,4,0.00,0.00,0.00,0.00,25.00,75.00,0.00
103,0,0,0,0,1,0,,,,,,0,13.33,6.67,6.67,6.67,0.00,13.33,0.00
104,0,0,1,1,0,0,1,77,48,49,35,2,0.00,0.00,42.86,0.00,14.29,71.43,14.29
105,0,0,1,0,0,0,0,33,,29,44,3,0.00,0.00,0.00,0.00,0.00,40.00,0.00
106,0,0,1,0,0,0,1,55,77,33,48,7,1.89,0.00,3.77,7.55,0.00,22.64,5.66
107,0,0,1,0,0,0,1,44,10,,19,2,0.00,0.00,0.00,0.00,5.56,16.67,5.56
108,0,0,1,0,1,0,1,45,80,80,64,0,0.00,0.00,0.00,22.22,0.00,27.78,5.56
109,0,0,1,0,1,0,1,89,,50,,2,6.67,6.67,0.00,6.67,0.00,40.00,0.00
110,0,0,1,0,0,0,1,41,92,94,64,1,20.00,0.00,0.00,20.00,0.00,20.00,20.00
111,0,0,1,0,1,0,,61,70,70,,0,0.00,0.00,0.00,5.00,0.00,25.00,0.00
112,0,0,1,0,1,0,1,20,50,50,50,0,0.00,0.00,16.67,16.67,0.00,33.33,33.33
113,0,0,1,1,1,0,1,62,100,100,0,2,0.00,0.00,15.79,10.53,0.00,31.58,5.26
114,0,0,1,0,0,0,1,,50,50,12,1,0.00,0.00,16.67,0.00,0.00,66.67,33.33
115,0,0,1,0,0,0,1,60,100,100,,12,0.00,0.00,7.41,7.41,3.70,33.33,7.41
116,0,0,1,0,1,0,1,0,38,81,80,0,0.00,14.29,0.00,14.29,0.00,57.14,14.29
117,0,0,1,1,0,0,1,,,,100,1,0.00,0.00,9.09,18.18,0.00,36.36,0.00
118,0,0,0,0,0,0,1,34,70,70,,0,0.00,0.00,0.00,100.00,0.00,0.00,0.00
119,0,0,1,1,0,0,1,100,58,89,44,5,0.00,0.00,5.56,5.56,5.56,44.44,11.11
120,0,0,1,0,1,0,1,52,82,83,,0,0.00,0.00,0.00,0.00,0.00,33.33,0.00
121,0,0,1,0,1,0,,83,34,21,87,3,0.00,0.00,7.14,7.14,0.00,21.43,0.00
122,0,0,1,0,1,0,1,100,100,100,,0,0.00,0.00,0.00,11.11,0.00,33.33,11.11
123,0,0,1,0,1,0,1,68,33,9,86,4,0.00,0.00,0.00,16.67,0.00,25.00,4.17
124,0,0,1,0,1,0,0,93,,,71,3,7.14,0.00,0.00,7.14,0.00,21.43,0.00
125,0,0,0,0,1,0,0,45,63,61,47,2,0.00,0.00,0.00,11.11,0.00,33.33,0.00
126,0,0,1,0,0,0,,,,,,2,0.00,0.00,0.00,0.00,0.00,33.33,0.00
127,0,0,1,1,1,0,,,,,,0,0.00,0.00,0.00,10.00,0.00,50.00,10.00
128,0,0,0,0,0,0,,,,,,3,33.33,0.00,0.00,33.33,0.00,0.00,0.00
129,1,1,1,0,0,1,1,80,50,50,80,4,6.67,0.00,6.67,6.67,0.00,6.67,0.00
130,1,1,1,0,1,0,0,100,,,,0,0.00,0.00,5.88,0.00,0.00,23.53,0.00
131,1,1,1,0,0,0,0,100,,0,,3,0.00,2.94,2.94,0.00,0.00,5.88,5.88
132,1,1,1,0,0,0,0,100,70,,100,2,0.00,0.00,6.25,25.00,6.25,25.00,18.75
133,1,1,1,0,0,0,1,100,,,,4,0.00,0.00,28.57,0.00,0.00,28.57,0.00
134,1,1,1,0,1,0,,,,,56,1,0.00,25.00,0.00,0.00,0.00,0.00,0.00
135,1,1,1,0,1,0,1,82,83,84,100,0,0.00,4.17,0.00,4.17,4.17,37.50,8.33
136,1,1,1,0,0,0,0,50,100,19,19,5,0.00,0.00,0.00,0.00,0.00,40.00,40.00
137,1,1,1,0,0,0,0,50,100,100,50,0,0.00,0.00,5.56,5.56,0.00,33.33,11.11
138,1,1,1,0,0,0,,93,30,30,18,2,0.00,0.00,20.00,0.00,0.00,40.00,0.00
139,1,1,1,0,0,0,0,19,82,83,19,1,0.00,0.00,0.00,15.38,0.00,23.08,0.00
140,1,1,1,0,1,0,1,100,10,6,100,2,5.88,0.00,5.88,11.76,0.00,29.41,0.00
141,1,1,1,1,0,0,1,45,30,90,30,4,0.00,0.00,9.52,9.52,0.00,23.81,0.00
142,1,1,1,1,0,0,1,,95,95,,2,0.00,0.00,16.67,0.00,0.00,50.00,16.67
143,1,1,1,0,0,0,1,85,92,92,93,0,0.00,0.00,4.76,9.52,0.00,23.81,0.00
144,1,1,1,1,0,0,1,80,51,51,60,4,5.00,0.00,20.00,0.00,0.00,25.00,0.00
145,1,1,0,0,0,0,,,,,,,0.00,0.00,0.00,9.52,0.00,4.76,0.00
146,1,1,1,0,0,1,1,70,8,11,79,0,0.00,0.00,0.00,11.11,11.11,11.11,0.00
147,1,1,1,0,0,0,0,35,99,,,6,6.67,0.00,0.00,20.00,0.00,20.00,6.67
148,1,1,1,1,0,1,1,67,66,66,,1,0.00,0.00,3.57,10.71,0.00,17.86,3.57
149,1,1,1,0,1,0,0,91,,,,0,0.00,0.00,0.00,0.00,0.00,20.00,0.00
150,1,1,1,1,0,0,1,70,80,80,69,5,0.00,0.00,6.35,11.11,0.00,20.63,4.76
151,1,1,1,0,0,0,1,,50,50,,2,0.00,0.00,9.09,0.00,0.00,36.36,9.09
152,1,1,1,0,0,0,1,50,50,50,50,2,0.00,0.00,0.00,0.00,0.00,20.00,0.00
153,1,0,1,1,0,0,1,19,100,100,22,0,5.00,0.00,5.00,0.00,0.00,35.00,10.00
154,1,0,1,1,0,0,1,100,77,77,66,3,0.00,5.00,10.00,10.00,0.00,30.00,0.00
155,1,0,1,0,0,0,1,89,40,40,100,0,0.00,0.00,25.00,0.00,0.00,12.50,0.00
156,1,0,1,0,1,0,1,100,0,,50,1,0.00,0.00,12.50,0.00,0.00,37.50,0.00
157,1,0,1,0,1,0,0,100,0,,,1,0.00,0.00,10.53,0.00,0.00,21.05,0.00
158,1,0,1,0,1,0,1,57,89,90,31,0,0.00,3.57,0.00,14.29,0.00,25.00,3.57
159,1,0,1,0,0,0,,70,,,0,0,7.14,0.00,7.14,14.29,0.00,35.71,0.00
160,1,0,1,0,0,0,1,71,100,100,,7,0.00,11.11,22.22,22.22,0.00,22.22,0.00
161,1,0,1,0,0,0,1,84,33,51,35,0,0.00,0.00,7.69,0.00,0.00,30.77,0.00
162,1,0,1,1,0,0,1,0,,,0,0,3.33,0.00,6.67,10.00,0.00,30.00,3.33
163,1,0,1,0,0,0,0,10,50,50,10,0,4.35,0.00,8.70,8.70,0.00,21.74,21.74
164,1,0,1,0,0,0,,20,20,70,20,0,0.00,0.00,12.50,12.50,0.00,37.50,25.00
165,1,0,1,1,1,0,1,,100,5,2,7,0.00,0.00,14.29,9.52,0.00,19.05,0.00
166,1,0,1,0,0,0,1,86,51,45,,2,0.00,0.00,10.00,0.00,0.00,50.00,10.00
167,1,0,1,0,1,0,1,,100,100,,7,0.00,0.00,0.00,0.00,0.00,25.00,0.00
168,1,0,1,0,0,0,,72,,92,35,1,0.00,0.00,0.00,17.65,0.00,35.29,11.76
169,1,0,0,0,0,1,1,90,63,64,43,0,0.00,0.00,5.88,11.76,5.88,23.53,0.00
170,1,0,1,0,1,0,,29,70,70,16,0,0.00,0.00,12.50,0.00,0.00,50.00,0.00
171,1,0,1,0,0,0,1,54,82,83,85,0,0.00,0.00,7.69,15.38,0.00,23.08,0.00
172,1,0,1,0,1,0,1,60,7,82,49,0,18.18,0.00,9.09,18.18,0.00,0.00,0.00
173,1,0,1,0,1,0,,92,94,97,0,1,10.00,0.00,10.00,0.00,0.00,30.00,20.00
174,1,0,1,0,0,1,,35,91,91,11,1,0.00,3.70,3.70,11.11,3.70,25.93,3.70
175,1,0,1,1,1,0,,82,30,31,83,0,0.00,0.00,6.67,6.67,0.00,46.67,26.67
176,1,0,1,0,0,0,1,,92,89,,12,0.00,0.00,8.33,8.33,0.00,25.00,0.00
177,1,0,1,0,0,0,,60,100,100,,1,33.33,0.00,0.00,0.00,0.00,0.00,0.00
178,1,0,1,0,0,0,0,48,100,100,47,2,0.00,0.00,23.08,7.69,0.00,30.77,0.00
